,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,197.0
Bot,0.0,0.0,0.0,210.0
Brute Force,0.0,0.0,0.0,170.0
DDoS,0.0,0.0,0.0,214.0
DoS,0.0,0.0,0.0,196.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,193.0
Fuzzers,0.0,0.0,0.0,208.0
Generic,0.0,0.0,0.0,220.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,198.0
Reconnaissance,0.0,0.0,0.0,210.0
Shellcode,0.0,0.0,0.0,193.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,191.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,2400.0
weighted avg,0.0,0.0,0.0,2400.0
